Recall,Precision,Threshold
1.0,0.5002457668774047,4.0164737e-06
0.9999661177746154,0.5002372961795315,4.1136236e-06
0.9999661177746154,0.5002457752089089,4.1793796e-06
0.9999661177746154,0.5002542545257306,4.1803405e-06
0.9999661177746154,0.500262734130011,4.239725e-06
0.9999661177746154,0.5002712140217649,4.8148995e-06
0.9999661177746154,0.5002796942010069,4.9131477e-06
0.9999661177746154,0.5002881746677516,5.1229936e-06
0.9999661177746154,0.5002966554220135,5.1552024e-06
0.9999661177746154,0.5003051364638075,5.2322616e-06
0.9999661177746154,0.5003136177931479,5.5886267e-06
0.9999661177746154,0.5003220994100495,5.866388e-06
0.9999661177746154,0.5003305813145269,5.9737736e-06
0.9999661177746154,0.5003390635065947,6.732323e-06
0.9999661177746154,0.5003475459862677,7.1082923e-06
0.9999661177746154,0.5003560287535603,7.18683e-06
0.9999661177746154,0.5003645118084872,7.355162e-06
0.9999661177746154,0.500372995151063,7.627717e-06
0.9999661177746154,0.5003814787813025,8.005937e-06
0.9999661177746154,0.5003899626992201,8.398432e-06
0.9999661177746154,0.5003984469048305,8.8856805e-06
0.9999661177746154,0.5004069313981485,8.944301e-06
0.9999661177746154,0.5004154161791885,9.023922e-06
0.9999661177746154,0.5004239012479653,9.139395e-06
0.9999661177746154,0.5004323866044934,9.308114e-06
0.9999661177746154,0.5004408722487876,9.40369e-06
0.9999661177746154,0.5004493581808624,9.627847e-06
0.9999661177746154,0.5004578444007326,9.7044785e-06
0.9999661177746154,0.5004663309084126,9.941994e-06
0.9999661177746154,0.5004748177039172,1.0740412e-05
0.9999661177746154,0.5004833047872611,1.0872395e-05
0.9999661177746154,0.5004917921584588,1.093464e-05
0.9999661177746154,0.5005002798175251,1.1028758e-05
0.9999661177746154,0.5005087677644744,1.1170717e-05
0.9999661177746154,0.5005172559993216,1.11966665e-05
0.9999661177746154,0.5005257445220813,1.1230716e-05
0.9999322355492308,0.5005172735444262,1.1495529e-05
0.9999322355492308,0.5005257623554153,1.18663265e-05
0.9999322355492308,0.5005342514543512,1.2499645e-05
0.9999322355492308,0.5005427408412483,1.3663467e-05
0.9999322355492308,0.5005512305161214,1.3828929e-05
0.9999322355492308,0.500559720478985,1.4284088e-05
0.9999322355492308,0.5005682107298539,1.4336629e-05
0.9999322355492308,0.5005767012687428,1.4474199e-05
0.9999322355492308,0.5005851920956662,1.5282789e-05
0.9999322355492308,0.5005936832106388,1.537449e-05
0.9999322355492308,0.5006021746136753,1.5664464e-05
0.9999322355492308,0.5006106663047903,1.5743672e-05
0.9999322355492308,0.5006191582839986,1.5929509e-05
0.9999322355492308,0.5006276505513146,1.5961974e-05
