False Positive Rate,True Positive Rate,Threshold
0.0,0.0,2.0
0.00016938243165418883,0.0,1.0
0.00016938243165418883,0.00013552890153825303,0.99999213
0.00016938243165418883,0.00020329335230737954,0.9999914
0.00016938243165418883,0.00037270447923019585,0.9999869
0.00016938243165418883,0.00044046892999932236,0.9999862
0.00016938243165418883,0.0005082333807684489,0.99998367
0.0002032589179850266,0.0005082333807684489,0.99998355
0.0002032589179850266,0.0006776445076912651,0.99998057
0.0002032589179850266,0.0007454089584603917,0.99997926
0.0002032589179850266,0.001321406789997967,0.99996066
0.0002032589179850266,0.0013891712407670936,0.9999604
0.0002032589179850266,0.0014569356915362201,0.99995756
0.0002032589179850266,0.0015247001423053467,0.9999566
0.0002032589179850266,0.0020329335230737954,0.99994195
0.0002032589179850266,0.002100697973842922,0.9999409
0.0002032589179850266,0.0030494002846106934,0.9999237
0.0002032589179850266,0.00311716473537982,0.9999229
0.0002032589179850266,0.003930338144609338,0.99990356
0.0002032589179850266,0.003998102595378464,0.9999033
0.0002032589179850266,0.005048451582299925,0.99987733
0.0002032589179850266,0.005150098258453615,0.99987674
0.0002032589179850266,0.005319509385376431,0.9998728
0.0002032589179850266,0.005387273836145558,0.9998716
0.00023713540431586437,0.005421156061530121,0.9998715
0.00023713540431586437,0.005963271667683134,0.99985754
0.00023713540431586437,0.00603103611845226,0.99985576
0.00023713540431586437,0.00633597614691333,0.9998511
0.00023713540431586437,0.006403740597682455,0.9998503
0.00023713540431586437,0.006844209527681778,0.99984086
0.00023713540431586437,0.006911973978450905,0.9998406
0.00023713540431586437,0.007081385105373721,0.9998385
0.0002710118906467021,0.007115267330758284,0.9998375
0.0002710118906467021,0.007352442908450227,0.99983525
0.0002710118906467021,0.007420207359219354,0.99983287
0.0002710118906467021,0.007454089584603917,0.99983275
0.0003048883769775399,0.007454089584603917,0.99983156
0.0003048883769775399,0.00769126516229586,0.99982905
0.0003048883769775399,0.007759029613064986,0.99982774
0.0003048883769775399,0.008402791895371688,0.9998111
0.0003048883769775399,0.008470556346140815,0.9998103
0.0003048883769775399,0.009791963136138782,0.9997863
0.0003048883769775399,0.00989360981229247,0.9997856
0.0003048883769775399,0.010740665446906553,0.99976796
0.0003048883769775399,0.01080842989767568,0.99976784
0.0003048883769775399,0.010842312123060242,0.9997657
0.0003048883769775399,0.010910076573829369,0.99976534
0.0003048883769775399,0.010977841024598495,0.9997646
0.0003048883769775399,0.011045605475367622,0.9997645
0.0003048883769775399,0.011791014433828014,0.9997502
0.0003048883769775399,0.011892661109981703,0.9997489
0.0003048883769775399,0.012299247814596462,0.99974257
0.0003048883769775399,0.012434776716134716,0.99974185
0.0003048883769775399,0.012536423392288406,0.99973994
0.0003048883769775399,0.012604187843057533,0.99973935
0.0003048883769775399,0.012638070068442095,0.999739
0.0003048883769775399,0.012705834519211222,0.9997385
0.0003048883769775399,0.013078538998441417,0.99973077
0.0003048883769775399,0.013146303449210544,0.9997305
0.0003048883769775399,0.013790065731517247,0.99971825
0.0003048883769775399,0.013857830182286373,0.9997179
0.0003048883769775399,0.014332181337670257,0.9997085
0.0003048883769775399,0.014399945788439384,0.99970824
0.0003048883769775399,0.015043708070746087,0.9996927
0.0003048883769775399,0.015111472521515214,0.9996908
0.0003048883769775399,0.01572135257843735,0.99968123
0.0003048883769775399,0.015856881479975604,0.9996778
0.0003048883769775399,0.015958528156129293,0.9996768
0.0003048883769775399,0.01602629260689842,0.9996766
0.0003048883769775399,0.016094057057667546,0.99967504
0.0003048883769775399,0.016161821508436675,0.9996749
0.0003048883769775399,0.016805583790743376,0.9996592
0.0003048883769775399,0.016873348241512504,0.99965715
0.0003048883769775399,0.017550992749203766,0.99964213
0.0003048883769775399,0.017618757199972895,0.999642
0.0003048883769775399,0.017957579453818526,0.9996326
0.0003048883769775399,0.018025343904587654,0.99963176
0.0003048883769775399,0.018160872806125907,0.9996306
0.00033876486330837766,0.018160872806125907,0.99963033
0.00033876486330837766,0.01833028393304872,0.9996282
0.00033876486330837766,0.01839804838381785,0.9996277
0.00033876486330837766,0.01914345734227824,0.99961424
0.00033876486330837766,0.019211221793047368,0.999613
0.00033876486330837766,0.019990512976892322,0.9995964
0.00033876486330837766,0.020058277427661447,0.9995962
0.00033876486330837766,0.020126041878430576,0.99959534
0.00033876486330837766,0.0201938063291997,0.9995951
0.00033876486330837766,0.020227688554584265,0.99959475
0.00033876486330837766,0.020295453005353393,0.9995946
0.00033876486330837766,0.0205665108084299,0.99958676
0.00033876486330837766,0.020634275259199024,0.99958664
0.00033876486330837766,0.020668157484583588,0.99958605
0.00033876486330837766,0.02080368638612184,0.99958044
0.00033876486330837766,0.02154909534458223,0.9995683
0.00033876486330837766,0.02161685979535136,0.99956745
0.00033876486330837766,0.022192857626888933,0.99955803
0.0003726413496392154,0.022192857626888933,0.9995577
0.0003726413496392154,0.022226739852273497,0.9995561
0.0003726413496392154,0.02236226875381175,0.99955446
0.0003726413496392154,0.022633326556888256,0.99955004
0.0003726413496392154,0.02270109100765738,0.9995493
0.0003726413496392154,0.02300603103611845,0.99954385
0.0003726413496392154,0.02307379548688758,0.9995437
0.0003726413496392154,0.02310767771227214,0.9995433
0.0003726413496392154,0.02317544216304127,0.9995431
0.0003726413496392154,0.0235142644168869,0.9995321
0.0003726413496392154,0.02358202886765603,0.99953127
0.0003726413496392154,0.023683675543809717,0.9995276
0.0003726413496392154,0.023751439994578846,0.99952626
0.0003726413496392154,0.02392085112150166,0.99952435
0.0004065178359700532,0.02392085112150166,0.9995234
