False Positive Rate,True Positive Rate,Threshold
0.0,0.0,2.0
0.0007479431563201197,0.0,1.0
0.0007479431563201197,0.008890684986866033,0.99067795
0.0008975317875841437,0.008890684986866033,0.99059147
0.0008975317875841437,0.015962820771873106,0.98530537
0.0010471204188481676,0.015962820771873106,0.9852638
0.0010471204188481676,0.016973125884016973,0.98450977
0.0011967090501121915,0.016973125884016973,0.9844952
0.0011967090501121915,0.05112143867447969,0.96644896
0.0013462976813762154,0.05112143867447969,0.96624523
0.0013462976813762154,0.05213174378662356,0.96569324
0.0014958863126402393,0.05213174378662356,0.9655025
0.0014958863126402393,0.05738533036977167,0.96335584
0.0016454749439042632,0.05738533036977167,0.9633213
0.0016454749439042632,0.06263891695291979,0.960291
0.0017950635751682873,0.06263891695291979,0.96022016
0.0017950635751682873,0.06304303899777733,0.9601738
0.0019446522064323112,0.06304303899777733,0.959919
0.0019446522064323112,0.06465952717720752,0.95906657
0.0020942408376963353,0.06465952717720752,0.95899504
0.0020942408376963353,0.0662760153566377,0.9582701
0.002243829468960359,0.0662760153566377,0.9582405
0.002243829468960359,0.06950899171549808,0.9563063
0.002393418100224383,0.06950899171549808,0.956269
0.002393418100224383,0.07294402909678722,0.9546947
0.0025430067314884067,0.07294402909678722,0.95459855
0.0025430067314884067,0.08042028692665185,0.9514523
0.002692595362752431,0.08042028692665185,0.95139915
0.002692595362752431,0.08830066680137401,0.94844854
0.002842183994016455,0.08830066680137401,0.94843864
0.002842183994016455,0.09032127702566176,0.9473025
0.0029917726252804786,0.09032127702566176,0.9469683
0.0029917726252804786,0.09395837542937967,0.94535035
0.0031413612565445027,0.09395837542937967,0.94533205
0.0031413612565445027,0.09456455849666599,0.94499
0.0032909498878085264,0.09456455849666599,0.9449602
0.0032909498878085264,0.09537280258638109,0.9444463
0.0034405385190725505,0.09537280258638109,0.9444458
0.0034405385190725505,0.09759547383309759,0.9432678
0.0035901271503365746,0.09759547383309759,0.9431059
0.0035901271503365746,0.09880783996767023,0.9424629
0.0037397157816005983,0.09880783996767023,0.9424412
0.0037397157816005983,0.10345524348353202,0.94136477
0.004038893044128646,0.10345524348353202,0.9411001
0.004038893044128646,0.1157809658516872,0.9348019
0.004188481675392671,0.1157809658516872,0.9347045
0.004188481675392671,0.11679127096383107,0.9338408
0.004338070306656694,0.11679127096383107,0.9336428
0.004338070306656694,0.11719539300868863,0.9333449
0.004487658937920718,0.11719539300868863,0.93330026
0.004487658937920718,0.11860982016569004,0.932119
0.004637247569184742,0.11860982016569004,0.93206525
0.004637247569184742,0.11941806425540513,0.93175966
0.004786836200448766,0.11941806425540513,0.9317307
0.004786836200448766,0.12467165083855325,0.92756945
0.00493642483171279,0.12467165083855325,0.9275458
0.00493642483171279,0.12487371186098202,0.9274634
0.0050860134629768135,0.12487371186098202,0.9273999
0.0050860134629768135,0.1272984441301273,0.92646277
0.005235602094240838,0.1272984441301273,0.92628443
0.005235602094240838,0.13012729844413012,0.92449695
0.005385190725504862,0.13012729844413012,0.9243991
0.005385190725504862,0.1303293594665589,0.9243196
0.005534779356768885,0.1303293594665589,0.92431235
0.005534779356768885,0.13053142048898767,0.92425627
0.00568436798803291,0.13053142048898767,0.9240454
0.00568436798803291,0.131137603556274,0.9237193
0.0058339566192969336,0.131137603556274,0.9236672
0.0058339566192969336,0.13174378662356032,0.9233486
0.005983545250560957,0.13174378662356032,0.9231545
0.005983545250560957,0.1333602748029905,0.9225431
0.006133133881824981,0.1333602748029905,0.92252356
0.006133133881824981,0.1349767629824207,0.9213506
0.0062827225130890054,0.1349767629824207,0.9210002
0.0062827225130890054,0.13760355627399476,0.91998804
0.006432311144353029,0.13760355627399476,0.91974866
0.006432311144353029,0.13982622752071125,0.91870046
0.006581899775617053,0.13982622752071125,0.91869724
0.006581899775617053,0.14043241058799757,0.9185852
0.006731488406881077,0.14043241058799757,0.9185012
0.006731488406881077,0.14063447161042636,0.918475
0.006881077038145101,0.14063447161042636,0.91820985
0.006881077038145101,0.1485148514851485,0.9147994
0.007180254300673149,0.1485148514851485,0.9146446
0.007180254300673149,0.1509395837542938,0.9137155
0.007329842931937173,0.1509395837542938,0.91344965
0.007329842931937173,0.15296019397858154,0.91284627
0.0074794315632011965,0.15296019397858154,0.9128126
0.0074794315632011965,0.1545766821580117,0.9122002
0.00762902019446522,0.1545766821580117,0.91209984
0.00762902019446522,0.15599110931501314,0.9114464
0.007778608825729245,0.15599110931501314,0.9113967
0.007778608825729245,0.15760759749444334,0.91076815
0.00792819745699327,0.15760759749444334,0.9107125
0.00792819745699327,0.15801171953930088,0.9103153
0.008077786088257292,0.15801171953930088,0.9102482
0.008077786088257292,0.1592240856738735,0.90924394
0.008227374719521317,0.1592240856738735,0.9090761
0.008227374719521317,0.15942614669630228,0.9089345
0.008526551982049364,0.15942614669630228,0.90891606
0.008526551982049364,0.16023439078601737,0.9087477
0.008676140613313389,0.16023439078601737,0.90871143
0.008676140613313389,0.16043645180844615,0.9086133
0.008975317875841436,0.16043645180844615,0.90843946
0.008975317875841436,0.1616488179430188,0.90799165
0.00912490650710546,0.1616488179430188,0.9078624
0.00912490650710546,0.16185087896544756,0.90785134
0.009424083769633508,0.16185087896544756,0.9077294
0.009424083769633508,0.16508385532430794,0.90617883
0.009573672400897532,0.16508385532430794,0.9061087
0.009573672400897532,0.16589209941402303,0.9056953
0.009723261032161555,0.16589209941402303,0.9056549
0.009723261032161555,0.16750858759345322,0.9050127
0.00987284966342558,0.16750858759345322,0.90499055
0.00987284966342558,0.1691250757728834,0.90418315
