Recall,Precision,Threshold
1.0,0.43438953743526726,0.0005156686
0.9997979389775712,0.43433988764044945,0.0005187938
0.9997979389775712,0.4343780177332982,0.0005221828
0.9997979389775712,0.4344161545215101,0.0005224648
0.9997979389775712,0.4344542980068487,0.0005316759
0.9997979389775712,0.43449244819107835,0.00053604256
0.9997979389775712,0.4345306050759638,0.0005404704
0.9997979389775712,0.4345687686632707,0.00054357044
0.9997979389775712,0.43460693895476504,0.0005498585
0.9997979389775712,0.4346451159522136,0.00055580726
0.9997979389775712,0.43468329965738384,0.0005693115
0.9997979389775712,0.4347214900720436,0.0005717523
0.9997979389775712,0.43475968719796154,0.00057406485
0.9997979389775712,0.43479789103690686,0.00058217655
0.9997979389775712,0.43483610159064945,0.00058715587
0.9997979389775712,0.43487431886095973,0.0005896838
0.9997979389775712,0.43491254284960884,0.00059495267
0.9997979389775712,0.4349507735583685,0.0005980674
0.9997979389775712,0.434989010989011,0.00060804695
0.9997979389775712,0.4350272551433093,0.0006107029
0.9997979389775712,0.435065506023037,0.0006108612
0.9997979389775712,0.43510376362996833,0.000613139
0.9997979389775712,0.4351420279658781,0.000620396
0.9997979389775712,0.4351802990325418,0.00062322826
0.9997979389775712,0.4352185768317354,0.00063444674
0.9997979389775712,0.4352568613652357,0.0006365457
0.9997979389775712,0.4352951526348201,0.0006440142
0.9997979389775712,0.4353334506422664,0.0006515237
0.9997979389775712,0.4353717553893533,0.0006566663
0.9997979389775712,0.43541006687785994,0.0006587191
0.9997979389775712,0.4354483851095661,0.0006612013
0.9997979389775712,0.4354867100862524,0.0006784105
0.9997979389775712,0.43552504180969986,0.0006801938
0.9997979389775712,0.4355633802816901,0.0006803494
0.9997979389775712,0.4356017255040056,0.0006809644
0.9997979389775712,0.4356400774784293,0.0006884788
0.9997979389775712,0.43567843620674473,0.00068874523
0.9997979389775712,0.4357168016907362,0.0006907034
0.9997979389775712,0.4357551739321885,0.000700773
0.9997979389775712,0.4357935529328871,0.0007069568
0.9997979389775712,0.43583193869461817,0.00070794957
0.9997979389775712,0.4358703312191684,0.00071996613
0.9997979389775712,0.43590873050832524,0.00072043936
0.9997979389775712,0.4359471365638766,0.0007223795
0.9997979389775712,0.43598554938761125,0.0007325072
0.9997979389775712,0.4360239689813183,0.00073354563
0.9997979389775712,0.4360623953467877,0.00074125826
0.9997979389775712,0.43610082848581,0.00074556563
0.9997979389775712,0.4361392684001763,0.0007561424
0.9997979389775712,0.4361777150916784,0.00076609966
0.9997979389775712,0.43621616856210876,0.00076982426
0.9997979389775712,0.43625462881326044,0.0007710812
0.9997979389775712,0.4362930958469271,0.00077518006
0.9997979389775712,0.436331569664903,0.00077691016
0.9997979389775712,0.4363700502689832,0.00077772455
0.9997979389775712,0.43640853766096316,0.0007999403
0.9997979389775712,0.43644703184263917,0.0008068079
0.9997979389775712,0.43648553281580804,0.0008073463
0.9997979389775712,0.4365240405822673,0.0008095746
0.9997979389775712,0.4365625551438151,0.00081048504
0.9997979389775712,0.43660107650225005,0.00081383716
0.9997979389775712,0.4366396046593717,0.00081878045
0.9997979389775712,0.43667813961698,0.0008234249
0.9997979389775712,0.4367166813768755,0.00082763063
0.9997979389775712,0.43675522994085975,0.0008289333
0.9997979389775712,0.4367937853107345,0.00084195606
0.9997979389775712,0.4368323474883023,0.00084202987
0.9997979389775712,0.4368709164753664,0.00084331824
0.9997979389775712,0.43690949227373066,0.0008452236
0.9997979389775712,0.4369480748851996,0.00085295795
0.9997979389775712,0.4369866643115782,0.00085323025
0.9997979389775712,0.43702526055467233,0.0008535014
0.9997979389775712,0.4370638636162883,0.00085424015
0.9997979389775712,0.4371024734982332,0.0008738788
0.9997979389775712,0.4371410902023147,0.00087631226
0.9997979389775712,0.43717971373034104,0.00090306293
0.9997979389775712,0.43721834408412125,0.0009055561
0.9997979389775712,0.4372569812654648,0.0009055828
0.9997979389775712,0.43729562527618204,0.00091991475
0.9997979389775712,0.4373342761180838,0.00092942076
0.9997979389775712,0.43737293379298153,0.000930809
0.9997979389775712,0.4374115983026874,0.00093493046
0.9997979389775712,0.43745026964901423,0.0009417377
0.9997979389775712,0.4374889478337754,0.0009597858
0.9997979389775712,0.43752763285878504,0.00096147944
0.9997979389775712,0.4375663247258578,0.0009802361
0.9997979389775712,0.43760502343680907,0.0009809545
0.9997979389775712,0.43764372899345483,0.0009921499
0.9997979389775712,0.4376824413976117,0.0009966737
0.9997979389775712,0.43772116065109695,0.0010058096
0.9997979389775712,0.4377598867557286,0.0010064797
0.9997979389775712,0.43779861971332507,0.0010087923
0.9997979389775712,0.4378373595257057,0.0010194732
0.9997979389775712,0.43787610619469025,0.0010224652
0.9997979389775712,0.4379148597220993,0.0010233159
0.9997979389775712,0.4379536201097539,0.0010439329
0.9997979389775712,0.437992387359476,0.0010442148
0.9997979389775712,0.4380311614730878,0.0010585765
0.9997979389775712,0.4380699424524126,0.0010588787
0.9997979389775712,0.43810873029927394,0.0010653493
0.9997979389775712,0.4381475250154963,0.0010731202
0.9997979389775712,0.4381863266029047,0.0010743047
0.9997979389775712,0.4382251350633248,0.001081227
0.9997979389775712,0.4382639503985828,0.0010814015
0.9997979389775712,0.4383027726105058,0.001100068
0.9997979389775712,0.43834160170092135,0.0011013829
0.9997979389775712,0.4383804376716577,0.0011031013
0.9997979389775712,0.4384192805245437,0.001104028
0.9997979389775712,0.43845813026140895,0.0011065834
0.9997979389775712,0.4384969868840837,0.001110397
0.9997979389775712,0.43853585039439863,0.0011130404
0.9997979389775712,0.4385747207941854,0.0011173988
